Characteristic,Sex,Race/ethnicity,Year,Percentage,Count,Margin of Error on Percentages (for standard error divide by 1.645),Note
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2003,6.5,74,2.4,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2004,5.0,55,2.1,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2005,5.8,63,2.3,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2006,7.3,82,2.5,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2007,5.4,64,2.1,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2008,3.6,41,1.8,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2009,3.0,32,1.7,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2010,3.0,35,1.6,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2011,4.1,63,1.6,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2012,5.0,76,1.8,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2013,3.8,60,1.6,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2014,4.8,77,2.8,
"Total - Living with an unmarried partner, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2015,5.2,85,2.0,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2003,7.8,89,2.6,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2004,6.2,68,2.3,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2005,5.1,56,2.1,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2006,6.6,74,2.4,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2007,2.7,32,1.5,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2008,4.8,55,2.0,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2009,5.6,60,2.2,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2010,3.2,38,1.7,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2011,4.3,66,1.7,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2012,6.2,94,2.0,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2013,6.8,106,2.0,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2014,4.9,78,2.8,
"Total - Living alone, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2015,6.1,100,2.1,
"Total - All other living arrangements, Asian-alone, non-Hispanic",,"Asian-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
